pardalis,jaguarundi,tigrinus,wiedii,cachorro,landmean
6,2,0,0,0,1.096688848
111,21,0,35,0,1.088879702
22,0,0,2,0,1.034319622
5,0,0,3,0,2.782000717
1,0,0,0,0,1.006815266
1,0,0,0,0,1.025898012
123,6,0,156,0,1.497914996
0,0,0,16,0,1.53030789
3,0,0,1,0,1.00625451
0,0,0,2,0,2.04642399
0,0,0,0,2,2.575002004
2,0,0,0,0,3.412797691
6,0,0,3,0,1.247113534
2,0,0,2,0,2.880541971
2,0,0,0,0,1.698604875
2,1,0,5,0,1.074961918
1,1,0,4,0,1.131895446
2,0,0,0,7,1.720574086
6,0,1,2,1,2.257642487
0,0,1,0,1,2.536996684
30,6,0,11,0,1.716943308
2,0,0,0,3,3.458333333
0,0,0,0,1,3.589403974
7,0,0,0,28,2.86383749
13,1,0,0,15,2.235892692
38,6,0,5,41,1.856329672
3,0,0,0,0,2.674835995
3,0,0,0,3,2.398119122
0,0,0,0,3,2.420809016
37,6,0,0,25,2.642475615
11,0,0,0,20,2.317548475
16,3,0,2,12,2.225607312
3,0,0,0,0,3.146171694
1,1,0,1,40,2.513127258
69,4,0,0,92,2.522770398
5,0,0,0,8,2.080024224
2,0,0,0,3,2.243679268
5,2,0,3,0,1.870349583
0,0,0,0,78,3.018844879
0,0,0,0,14,3.249298372
740,28,0,0,1058,2.597586617
149,17,0,0,79,2.186911084
1,0,0,0,1,2.452096529
8,0,0,0,0,2.101579412
0,0,0,0,15,3.172546504
15,0,0,0,7,2.908474576
11,3,0,4,38,2.501845315
2,0,0,0,0,1.416212316
0,0,0,0,75,3.236850545
0,0,0,0,21,3.654541055
39,0,0,0,33,3.020295203
0,4,0,14,44,3.202534692
50,18,0,11,45,2.894478528
0,0,0,0,9,3.766806723
0,0,0,0,2,3.403624118
1,0,0,0,1,3.13014523
0,0,0,4,7,4.418367347
0,2,0,1,1,2.997472924
11,8,0,3,8,3.0457993
26,5,0,4,6,3.094415902
0,0,0,0,4,3.625110914
2,1,0,0,2,3.494919112
0,0,0,0,6,2.740479436
15,1,0,3,2,1.425925926
0,0,0,4,1,2.637390112
0,2,0,6,5,3.4259482
0,3,0,0,1,3.224322744
0,0,0,0,9,3.609142041
0,0,0,0,6,2.773572803
22,6,0,3,0,1.024378508
0,0,0,0,4,3.190884139
0,2,0,7,9,2.994542974
0,2,0,5,8,3.687986518
0,7,0,23,39,3.11890635
